Plugin,Menu,Section,Type,English,Japanese
"ICE","","","","Action Info: ","アクション情報: "
"ICE","","","","Add Armor/Housing/Mounts","装備／ハウジング／マウントを追加"
"ICE","","","","Add delay to crafting menu","製作メニューに待機を追加"
"ICE","","","","Add delay to gather","採集に待機を追加"
"ICE","","","","Add delay to mission menu","ミッションメニューに待機を追加"
"ICE","","","","Add Location","地点を追加"
"ICE","","","","Add Material/Dyes/Items","素材／染料／アイテムを追加"
"ICE","","","","Add New Command","新しいコマンドを追加"
"ICE","","","","Add Profile","プロファイルを追加"
"ICE","","","","Add to Cosmic Agenda","コスモアジェンダに追加"
"ICE","","","","Adds a small random offset to navigation destinations so the character doesn't always follow the exact same path","移動先に小さなランダムずれを加え、毎回まったく同じ経路を通らないようにします"
"ICE","","","","after","後"
"ICE","","","","Ageless Words / Solid Reason","老農の知／石工の理"
"ICE","","","","Agenda Mode","アジェンダモード"
"ICE","","","","All Class progresses","全クラス進捗"
"ICE","","","","All Classes","全クラス"
"ICE","","","","Apply to agenda","アジェンダへ適用"
"ICE","","","","Apply to Mission Types","ミッション種別へ適用"
"ICE","","","","Apply to similar missions","類似ミッションへ適用"
"ICE","","","","Auto Cordial","コーディアル自動使用"
"ICE","","","","Auto Hide/Show Planet Tokens","惑星トークンを自動表示／非表示"
"ICE","","","","Auto Resize Overlay","オーバーレイを自動リサイズ"
"ICE","","","","Auto Select","自動選択"
"ICE","","","","Auto Select Job","ジョブを自動選択"
"ICE","","","","Auto start upon entering a Cosmic Exploration area","コスモエクスプローラーエリア進入時に自動開始"
"ICE","","","","Auto-Remove Stellar Status","ステラーステータスを自動解除"
"ICE","","","","Auto-Use","自動使用"
"ICE","","","","Auto-Use Stellar Sprint","ステラースプリントを自動使用"
"ICE","","","","Automate cosmodrone","コスモドローンを自動化"
"ICE","","","","Automating Hub Activities","拠点アクティビティを自動化"
"ICE","","","","Average Time History to keep","保持する平均時間履歴"
"ICE","","","","Avoid Stellar Return for pathing","経路移動でステラーリターンを避ける"
"ICE","","","","Battle Job##relicJob","戦闘ジョブ##relicJob"
"ICE","","","","Beta, might not work","ベータ機能：正常に動作しない場合があります"
"ICE","","","","Blessed / Kings Yield I","恵みの加護／キングスイールドI"
"ICE","","","","Blessed / Kings Yield II","恵みの加護／キングスイールドII"
"ICE","","","","Bountiful Yield II / Bountiful Harvest II","バウンティフルイールドII／バウンティフルハーベストII"
"ICE","","","","Buy At Amount","この所持数で購入"
"ICE","","","","Buy Drones","ドローンを購入"
"ICE","","","","Buy Items","アイテムを購入"
"ICE","","","","Character Settings","キャラクター設定"
"ICE","","","","Class Progress","クラス進捗"
"ICE","","","","Class Score","クラススコア"
"ICE","","","","Clear shopping list","買い物リストをクリア"
"ICE","","","","Configure the weights for each item in the Gamba. Higher weight = more desirable.","Gamba内の各アイテムの重みを設定します。数値が高いほど優先度が高くなります。"
"ICE","","","","Copy Logs","ログをコピー"
"ICE","","","","Copy Selected Profile","選択中プロファイルをコピー"
"ICE","","","","Cordial Settings","コーディアル設定"
"ICE","","","","Cosmic Agenda","コスモアジェンダ"
"ICE","","","","Cosmic Helper","コスモヘルパー"
"ICE","","","","Craft Item Settings","製作アイテム設定"
"ICE","","","","Crafting","製作"
"ICE","","","","Crafting Return Spot","製作時の帰還地点"
"ICE","","","","Credit Shopping","クレジット購入"
"ICE","","","","Critical Missions","クリティカルミッション"
